GemName,Usage (GS),Usage (NR),Downloads,% Usage (GS),% Usage (NR),% Downloads,Watchers,Forks,%Watchers,%Forks
rails,734,7425,5864849,1,0.980845443,0.816669027,10667,2303,1.0,0.8861100423239707
jquery-rails,454,2482,956401,0.61852861,0.327873184,0.133177013,162,63,0.01518702540545608,0.024240092343208928
haml,390,4458,1943493,0.53133515,0.588903567,0.27062769,1656,218,0.1552451485891066,0.08387841477491342
simple_form,136,665,167627,0.185286104,0.087846764,0.02334174,1446,164,0.13555826380425612,0.06310119276644863
carrierwave,140,795,194723,0.190735695,0.105019815,0.027114806,2270,270,0.21280584981719322,0.10388611004232397
sass-rails,244,402,336305,0.332425068,0.053104359,0.046829829,117,34,0.010968407237273835,0.013081954597922277
uglifier,260,486,355335,0.354223433,0.064200793,0.04947972,108,7,0.010124683603637386,0.0026933435936898806
compass,208,1496,508300,0.283378747,0.197622193,0.070779805,2878,285,0.26980406862285555,0.10965756060023085
therubyracer,119,267,145871,0.162125341,0.035270806,0.020312258,610,29,0.05718571294647042,0.011158137745286649
rspec-rails,511,1640,1312088,0.696185286,0.21664465,0.182705749,746,115,0.06993531452142121,0.04424778761061947
guard-rspec,160,101,87430,0.217983651,0.01334214,0.012174461,162,28,0.01518702540545608,0.010773374374759523
rb-fsevent,130,103,71401,0.177111717,0.013606341,0.009942453,47,12,0.004406112308990344,0.00461716044632551
newrelic_rpm,234,4935,560331,0.31880109,0.651915456,0.078025022,291,91,0.027280397487578514,0.03501346671796845
resque,116,886,326823,0.158038147,0.117040951,0.045509479,2789,383,0.2614605793568951,0.1473643709118892
meta_search,66,497,145551,0.089918256,0.065653897,0.020267699,575,48,0.05390456548232868,0.01846864178530204
will_paginate,293,5274,1387156,0.399182561,0.69669749,0.193158825,3028,407,0.283866129183463,0.1565986918045402
devise,364,3330,1017956,0.495912807,0.43989432,0.14174843,5114,597,0.47942251804631103,0.22970373220469412
paperclip,262,3389,817438,0.356948229,0.447688243,0.113826681,3664,697,0.3434892659604387,0.2681800692574067
nokogiri,229,4597,2419093,0.311989101,0.607265522,0.336854082,1414,145,0.13255835755132653,0.055790688726433245
mongrel,116,554,686686,0.158038147,0.07318362,0.095619715,147,16,0.013780819349395332,0.0061562139284340135
rack,63,7570,7064053,0.085831063,1,0.983655895,812,296,0.0761226211680885,0.11388995767602925
hoptoad_notifier,182,2931,530263,0.247956403,0.387186262,0.07383811,527,126,0.049404706102934286,0.048480184686417856
formtastic,145,1700,429452,0.197547684,0.224570674,0.059800371,3424,353,0.3209899690634668,0.1358214697960754
state_machine,129,787,262211,0.175749319,0.103963012,0.036512381,1328,84,0.12449610949657823,0.032320123124278566
bcrypt-ruby,60,3703,1401343,0.081743869,0.489167768,0.195134338,205,20,0.019218149432830223,0.007695267410542516
geokit,58,1188,216692,0.079019074,0.156935271,0.030173947,739,166,0.06927908502859285,0.06387071950750288
acts-as-taggable-on,80,810,184573,0.108991826,0.107001321,0.025701438,1587,264,0.14877660073122714,0.10157752981916121
thinking-sphinx,67,753,203570,0.091280654,0.099471598,0.028346734,1114,269,0.10443423643011156,0.10350134667179685
whenever,136,1106,292610,0.185286104,0.146103038,0.040745384,2094,153,0.19630636542608043,0.05886879569065025
cucumber-rails,224,885,600571,0.305177112,0.116908851,0.083628365,457,135,0.04284241117465079,0.051943055021161984
webmock,89,133,162376,0.121253406,0.017569353,0.022610548,533,69,0.049967188525358586,0.02654867256637168
RedCloth,98,1601,662703,0.133514986,0.211492734,0.092280128,337,45,0.031592762726164805,0.01731435167372066
cucumber,116,953,1036013,0.158038147,0.125891678,0.144262832,2793,372,0.2618355676385113,0.1431319738360908
rspec,199,1785,1946910,0.271117166,0.235799207,0.271103501,394,26,0.03693634573919565,0.010003847633705272
acts_as_list,74,638,189529,0.100817439,0.084280053,0.026391551,132,109,0.012374613293334584,0.04193920738745671
mail,34,6386,3870102,0.046321526,0.843593131,0.538904315,1003,147,0.09402831161526203,0.0565602154674875
annotate,81,240,115222,0.110354223,0.031704095,0.016044444,572,85,0.053623324271116525,0.03270488649480569
heroku,80,1137,542899,0.108991826,0.150198151,0.075597649,422,86,0.03956126371050905,0.03308964986533282
shoulda,135,585,363228,0.183923706,0.077278732,0.050578806,1174,150,0.11005906065435456,0.057714505579068875
guard-spork,76,57,38789,0.103542234,0.007529723,0.005401294,96,15,0.008999718758788787,0.005771450557906887
pry,91,44,57995,0.123978202,0.005812417,0.008075693,750,37,0.0703103028030374,0.014236244709503656
factory_girl,161,1505,888076,0.219346049,0.198811096,0.123662888,1744,210,0.16349489078466298,0.08080030781069643
coffee-rails,187,238,246749,0.254768392,0.031439894,0.034359327,18,8,0.0016874472672728977,0.0030781069642170067
httparty,74,2005,635447,0.100817439,0.264861295,0.088484782,1257,179,0.1178400674978907,0.06887264332435553
yajl-ruby,70,718,537188,0.095367847,0.094848085,0.074802403,661,47,0.06196681353707697,0.018083878414774913
mongoid,83,739,296567,0.113079019,0.097622193,0.041296389,1751,508,0.16415112027749132,0.19545979222777993
jammit,84,1120,230229,0.114441417,0.147952444,0.032058949,983,132,0.09215337020718102,0.050788764909580605
activemerchant,69,843,246630,0.09400545,0.111360634,0.034342757,1754,680,0.16443236148870347,0.26163909195844554
fakeweb,84,296,209361,0.114441417,0.039101717,0.02915312,545,75,0.05109215337020718,0.028857252789534438
friendly_id,97,828,194152,0.132152589,0.109379128,0.027035295,1300,131,0.12187119152526484,0.05040400153905348
turn,97,77,166933,0.132152589,0.010171731,0.023245102,235,31,0.02203056154495172,0.0119276644863409
mongo,32,1082,549094,0.04359673,0.142932629,0.076460291,657,140,0.061591825255460766,0.053866871873797614
exception_notification,75,411,67142,0.102179837,0.054293263,0.009349395,215,178,0.020155620136870722,0.06848787995382839
rcov,95,539,506075,0.129427793,0.071202114,0.070469978,329,58,0.030842786162932408,0.022316275490573297
guard,92,157,128065,0.125340599,0.020739762,0.017832807,923,73,0.08652854598293803,0.028087726048480186
rdoc,37,2036,1620351,0.050408719,0.268956407,0.225630783,48,17,0.004499859379394394,0.006540977298961139
sinatra,56,1189,1181724,0.076294278,0.157067371,0.164552811,2769,406,0.2595856379488141,0.15621392843401308
i18n,44,6787,4296646,0.059945504,0.89656539,0.598299753,313,75,0.02934283303646761,0.028857252789534438
bundler,27,7421,3099765,0.036784741,0.980317041,0.431636359,1339,320,0.12552732727102278,0.12312427856868026
sqlite3-ruby,63,1573,1625982,0.085831063,0.207793923,0.226414889,84,40,0.007874753913940189,0.015390534821085032
json_pure,21,2018,1919087,0.028610354,0.2665786,0.267229201,183,39,0.017155713883941128,0.015005771450557906
rspec-core,18,1338,1347839,0.024523161,0.17675033,0.187684008,325,153,0.03046779788131621,0.05886879569065025
rspec-expectations,14,1335,1295165,0.019073569,0.176354029,0.180349254,103,35,0.009655948251617136,0.013466717968449404
rspec-mocks,15,1335,1292097,0.020435967,0.176354029,0.179922041,100,32,0.009374707040404988,0.012312427856868027
addressable,24,2464,1167664,0.032697548,0.325495376,0.162594983,243,33,0.02278053810818412,0.012697191227395151
tilt,6,1413,1250502,0.008174387,0.18665786,0.174130016,681,67,0.06384175494515797,0.02577914582531743
rack-openid,13,1077,264585,0.017711172,0.142272127,0.036842956,133,24,0.012468360363738632,0.00923432089265102
net-scp,9,1594,993196,0.01226158,0.210568032,0.138300647,14,6,0.0013124589856566983,0.002308580223162755
arel,4,6261,3881843,0.005449591,0.827080581,0.540539227,124,130,0.011624636730102184,0.05001923816852635
ffi,11,1122,1024919,0.014986376,0.148216645,0.142718014,311,42,0.02915533889565951,0.016160061562139283
term-ansicolor,5,1490,1060055,0.006811989,0.19682959,0.147610635,53,14,0.004968594731414643,0.005386687187379761
net-sftp,14,1434,951261,0.019073569,0.189431968,0.132461278,13,4,0.0012187119152526483,0.0015390534821085034
net-ssh,18,2168,1849563,0.024523161,0.286393659,0.257548117,102,46,0.009562201181213087,0.017699115044247787
rack-mount,1,6268,3557351,0.001362398,0.828005284,0.495354336,172,18,0.016124496109496577,0.006925740669488265
