GemName,Usage (GS),Usage (NR),Downloads,% Usage (GS),% Usage (NR),% Downloads
rails,734,7425,5864849,1,0.980845443,0.816669027
pg,251,2161,749233,0.341961853,0.285468956,0.104329265
jquery-rails,454,2482,956401,0.61852861,0.327873184,0.133177013
haml,390,4458,1943493,0.53133515,0.588903567,0.27062769
simple_form,136,665,167627,0.185286104,0.087846764,0.02334174
carrierwave,140,795,194723,0.190735695,0.105019815,0.027114806
sass-rails,244,402,336305,0.332425068,0.053104359,0.046829829
uglifier,260,486,355335,0.354223433,0.064200793,0.04947972
compass,208,1496,508300,0.283378747,0.197622193,0.070779805
therubyracer,119,267,145871,0.162125341,0.035270806,0.020312258
rspec-rails,511,1640,1312088,0.696185286,0.21664465,0.182705749
ruby-debug19,174,232,167352,0.237057221,0.030647292,0.023303447
capybara,392,983,683720,0.534059946,0.12985469,0.095206705
guard-rspec,160,101,87430,0.217983651,0.01334214,0.012174461
rb-fsevent,130,103,71401,0.177111717,0.013606341,0.009942453
growl,93,83,49662,0.126702997,0.010964333,0.006915339
factory_girl_rails,330,852,456162,0.449591281,0.112549538,0.063519688
valid_attribute,13,1,2156,0.017711172,0.0001321,0.000300219
newrelic_rpm,234,4935,560331,0.31880109,0.651915456,0.078025022
redis-store,28,181,36262,0.038147139,0.023910172,0.005049414
resque,116,886,326823,0.158038147,0.117040951,0.045509479
meta_where,41,331,69851,0.055858311,0.043725231,0.009726618
meta_search,66,497,145551,0.089918256,0.065653897,0.020267699
attr_bucket,1,3,2153,0.001362398,0.000396301,0.000299801
will_paginate,293,5274,1387156,0.399182561,0.69669749,0.193158825
oa-oauth,29,1182,258867,0.039509537,0.156142668,0.036046736
devise,364,3330,1017956,0.495912807,0.43989432,0.14174843
devise-twitter,1,4,1839,0.001362398,0.000528402,0.000256077
rest-client,59,2834,1355790,0.080381471,0.374372523,0.188791169
aws-s3,148,3224,614561,0.201634877,0.425891678,0.085576446
paperclip,262,3389,817438,0.356948229,0.447688243,0.113826681
nokogiri,229,4597,2419093,0.311989101,0.607265522,0.336854082
mysql2,283,1889,951590,0.385558583,0.249537649,0.132507091
mongrel,116,554,686686,0.158038147,0.07318362,0.095619715
capistrano,319,1319,1044539,0.434604905,0.174240423,0.145450062
capistrano-ext,155,614,321916,0.211171662,0.081109643,0.044826188
rake,237,7444,6485780,0.322888283,0.98335535,0.903132483
rack,63,7570,7064053,0.085831063,1,0.983655895
sass,165,1726,763310,0.22479564,0.228005284,0.10628946
sprockets,30,639,602401,0.040871935,0.084412153,0.083883189
hoptoad_notifier,182,2931,530263,0.247956403,0.387186262,0.07383811
formtastic,145,1700,429452,0.197547684,0.224570674,0.059800371
uuidtools,34,721,811143,0.046321526,0.095244386,0.112950114
redcarpet,35,94,40337,0.047683924,0.012417437,0.00561685
mini_magick,90,550,187031,0.122615804,0.072655218,0.02604371
resque_mailer,21,148,40661,0.028610354,0.019550859,0.005661967
state_machine,129,787,262211,0.175749319,0.103963012,0.036512381
plist,2,52,76022,0.002724796,0.006869221,0.010585918
recurly,10,104,20371,0.013623978,0.013738441,0.002836623
system_timer,25,263,113522,0.034059946,0.034742404,0.015807722
gibbon,10,56,9992,0.013623978,0.007397622,0.001391367
client_side_validations,31,148,40209,0.042234332,0.019550859,0.005599026
no_peeping_toms,8,23,8730,0.010899183,0.003038309,0.001215636
possessive,5,19,2222,0.006811989,0.002509908,0.000309409
mime-types,49,7326,4155126,0.066757493,0.967767503,0.578593363
home_run,10,29,16194,0.013623978,0.003830911,0.002254984
recaptcha,28,353,69877,0.038147139,0.04663144,0.009730239
rack-raw-upload,8,17,9205,0.010899183,0.002245707,0.001281779
bcrypt-ruby,60,3703,1401343,0.081743869,0.489167768,0.195134338
geokit,58,1188,216692,0.079019074,0.156935271,0.030173947
useragent,8,52,13576,0.010899183,0.006869221,0.001890432
ruby-hmac,24,1403,515210,0.032697548,0.185336856,0.071742009
ruby-debug,174,802,550470,0.237057221,0.105944518,0.076651897
hirb,82,452,290452,0.111716621,0.059709379,0.040444887
wirble,85,306,171726,0.115803815,0.040422721,0.023912518
autotest-standalone,10,24,16806,0.013623978,0.00317041,0.002340203
autotest-fsevent,21,28,68931,0.028610354,0.003698811,0.00959851
launchy,284,1757,837624,0.386920981,0.232100396,0.116637543
rack-test,51,6547,3871219,0.069482289,0.864861295,0.539059855
rvm,12,31,212281,0.016348774,0.004095112,0.029559724
haml-rails,149,743,189441,0.202997275,0.098150594,0.026379298
hpricot,114,1649,781458,0.155313351,0.217833554,0.108816535
ruby_parser,62,550,381392,0.084468665,0.072655218,0.053108108
acts-as-taggable-on,80,810,184573,0.108991826,0.107001321,0.025701438
kaltura_fu,2,1,2253,0.002724796,0.0001321,0.000313726
kaminari,158,758,163858,0.215258856,0.1001321,0.022816914
vagrant,3,5,52639,0.004087193,0.000660502,0.00732988
thinking-sphinx,67,753,203570,0.091280654,0.099471598,0.028346734
ts-delayed-delta,9,127,30745,0.01226158,0.01677675,0.004281183
whenever,136,1106,292610,0.185286104,0.146103038,0.040745384
cucumber-rails,224,885,600571,0.305177112,0.116908851,0.083628365
database_cleaner,338,933,615124,0.460490463,0.12324967,0.085654843
capybara-webkit,52,22,23423,0.070844687,0.002906209,0.003261608
headless,14,24,15741,0.019073569,0.00317041,0.002191904
vcr,58,69,49671,0.079019074,0.009114927,0.006916592
webmock,89,133,162376,0.121253406,0.017569353,0.022610548
simple-rss,12,167,62354,0.016348774,0.022060766,0.008682675
redis,85,1265,533648,0.115803815,0.167107001,0.074309465
chronic,54,1067,453973,0.073569482,0.140951123,0.063214874
RedCloth,98,1601,662703,0.133514986,0.211492734,0.092280128
ruby-recaptcha,3,62,15999,0.004087193,0.008190225,0.00222783
javan-whenever,4,150,0,0.005449591,0.019815059,0
velir_kaltura-ruby,2,4,4747,0.002724796,0.000528402,0.000661011
tripwire_notifier,1,20,2925,0.001362398,0.002642008,0.000407301
